,0
1,cat
2,airplane
3,truck
4,airplane
5,airplane
6,ship
7,frog
8,truck
9,airplane
10,ship
11,frog
12,truck
13,frog
14,ship
15,dog
16,airplane
17,frog
18,frog
19,airplane
20,frog
21,truck
22,airplane
23,truck
24,frog
25,dog
26,automobile
27,automobile
28,frog
29,frog
30,dog
31,airplane
32,horse
33,ship
34,airplane
35,deer
36,frog
37,frog
38,dog
39,ship
40,dog
41,airplane
42,frog
43,truck
44,frog
45,truck
46,ship
47,frog
48,truck
49,airplane
50,truck
51,airplane
52,horse
53,airplane
54,frog
55,ship
56,truck
57,frog
58,truck
59,airplane
60,airplane
61,deer
62,frog
63,frog
64,truck
65,ship
66,truck
67,ship
68,airplane
69,airplane
70,dog
71,truck
72,frog
73,ship
74,frog
75,frog
76,ship
77,airplane
78,cat
79,deer
80,frog
81,dog
82,frog
83,ship
84,dog
85,airplane
86,truck
87,ship
88,horse
89,frog
90,truck
91,ship
92,airplane
93,frog
94,cat
95,automobile
96,frog
97,frog
98,airplane
99,truck
100,frog
101,frog
102,ship
103,airplane
104,frog
105,ship
106,ship
107,frog
108,airplane
109,frog
110,frog
111,frog
112,automobile
113,frog
114,ship
115,ship
116,frog
117,airplane
118,deer
119,ship
120,ship
121,truck
122,airplane
123,horse
124,truck
125,truck
126,truck
127,ship
128,dog
129,ship
130,airplane
131,ship
132,frog
133,airplane
134,dog
135,frog
136,frog
137,frog
138,frog
139,dog
140,automobile
141,airplane
142,frog
143,truck
144,deer
145,frog
146,frog
147,airplane
148,dog
149,frog
150,frog
151,truck
152,dog
153,dog
154,ship
155,truck
156,airplane
157,airplane
158,ship
159,truck
160,frog
161,frog
162,frog
163,truck
164,airplane
165,dog
166,dog
167,frog
168,dog
169,airplane
170,frog
171,frog
172,frog
173,frog
174,frog
175,frog
176,ship
177,frog
178,truck
179,airplane
180,truck
181,frog
182,truck
183,frog
184,airplane
185,ship
186,frog
187,truck
188,frog
189,frog
190,airplane
191,automobile
192,airplane
193,airplane
194,airplane
195,truck
196,frog
197,frog
198,cat
199,ship
200,frog
201,ship
202,frog
203,airplane
204,truck
205,bird
206,airplane
207,frog
208,ship
209,frog
210,airplane
211,truck
212,airplane
213,frog
214,frog
215,frog
216,frog
217,dog
218,ship
219,frog
220,frog
221,airplane
222,airplane
223,ship
224,dog
225,airplane
226,truck
227,airplane
228,horse
229,ship
230,horse
231,dog
232,frog
233,frog
234,frog
235,truck
236,truck
237,frog
238,frog
239,truck
240,airplane
241,frog
242,airplane
243,ship
244,frog
